Region/Sub-Region or Country of Birth,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
All Countries (total)," 644,787 "," 841,002 "," 1,058,902 "," 1,059,356 "," 703,542 "," 957,883 "," 1,122,257 "," 1,266,129 "," 1,052,415 "," 1,107,126 "," 1,130,818 "," 1,042,625 "," 1,062,040 "," 1,031,631 "," 990,553 "," 1,016,518 "," 1,051,031 "," 1,183,505 "," 1,127,167 "
Africa," 36,572 "," 44,529 "," 53,723 "," 60,094 "," 48,633 "," 66,412 "," 85,091 "," 117,416 "," 94,709 ","105,915","127,046","101,355","100,374","107,241","98,304","98,413","101,415","113,426","118,824"
Eastern Africa," 8,839 "," 10,778 "," 13,373 "," 18,426 "," 14,901 "," 21,266 "," 26,530 "," 41,295 "," 31,731 "," 36,558 "," 49,419 "," 34,498 "," 34,001 "," 35,539 "," 30,044 "," 30,241 "," 31,618 "," 35,047 "," 39,311 "
Burundi, 16 , 28 , 79 , 120 , 74 , 100 , 186 , 320 , 257 , 255 ," 1,505 ", 841 , 593 , 535 , 260 , 273 , 351 , 415 ," 1,094 "
Comoros, X , X , X , X , X , X , 6 , 7 , 7 , D , 3 , 4 , 8 , 10 , D , 9 , 5 , 4 , 4 
Djibouti, 6 , 14 , 22 , 30 , 16 , 37 , 50 , 34 , 23 , 39 , 54 , 37 , 56 , 106 , 90 , 190 , 370 , 281 , 222 
Eritrea, 325 , 382 , 540 , 560 , 556 , 675 , 796 ," 1,593 "," 1,081 "," 1,270 "," 1,928 "," 1,656 "," 2,102 "," 2,643 "," 2,138 "," 2,002 "," 2,220 "," 2,267 "," 2,449 "
Ethiopia," 4,262 "," 4,053 "," 5,092 "," 7,565 "," 6,635 "," 8,286 "," 10,571 "," 16,152 "," 12,786 "," 12,917 "," 15,462 "," 14,266 "," 13,793 "," 14,544 "," 13,097 "," 12,300 "," 11,394 "," 13,232 "," 14,637 "
Kenya," 1,407 "," 2,197 "," 2,501 "," 3,199 "," 3,209 "," 5,335 "," 5,347 "," 8,779 "," 7,030 "," 6,998 "," 9,880 "," 7,421 "," 7,762 "," 7,043 "," 6,123 "," 5,884 "," 5,602 "," 6,274 "," 6,957 "
Madagascar, 26 , 33 , 61 , 43 , 40 , 54 , 60 , 72 , 53 , 77 , 71 , 80 , 83 , 79 , 95 , 86 , 72 , 88 , 60 
Malawi, 41 , 61 , 70 , 56 , 62 , 83 , 131 , 131 , 123 , 133 , 164 , 164 , 123 , 192 , 159 , 172 , 160 , 205 , 228 
Mauritius, 38 , 54 , 84 , 83 , 57 , 65 , 99 , 108 , 88 , 83 , 110 , 84 , 101 , 77 , 83 , 81 , 96 , 110 , 96 
Mozambique, 31 , 41 , 48 , 54 , 36 , 59 , 54 , 78 , 81 , 69 , 66 , 53 , 60 , 94 , 73 , 71 , 107 , 101 , 96 
Rwanda, 97 , 73 , 148 , 217 , 109 , 163 , 276 , 502 , 357 , 378 , 952 , 489 , 520 , 592 , 540 , 555 , 732 ," 1,357 "," 1,394 "
Seychelles, 10 , 18 , 18 , 20 , 16 , 25 , 16 , 15 , 7 , 16 , 10 , 8 , 15 , 7 , 6 , 7 , 11 , 16 , 10 
Somalia," 1,690 "," 2,393 "," 3,007 "," 4,535 "," 2,444 "," 3,929 "," 5,829 "," 9,462 "," 6,251 "," 10,745 "," 13,390 "," 4,558 "," 4,451 "," 5,204 "," 3,764 "," 5,190 "," 6,796 "," 6,958 "," 7,404 "
Tanzania, 313 , 480 , 476 , 577 , 554 , 747 , 829 , 949 , 832 , 838 ," 2,773 "," 1,850 "," 1,427 "," 1,516 ", 837 , 774 , 799 , 788 ," 1,415 "
Uganda, 250 , 418 , 457 , 575 , 455 , 721 , 858 ," 1,372 "," 1,122 "," 1,174 "," 1,364 "," 1,085 "," 1,239 "," 1,340 "," 1,350 "," 1,409 "," 1,664 "," 1,649 "," 1,898 "
Zambia, 143 , 211 , 295 , 308 , 280 , 359 , 499 , 672 , 576 , 613 , 704 , 628 , 652 , 643 , 505 , 441 , 460 , 487 , 537 
Zimbabwe, 184 , 322 , 475 , 484 , 358 , 628 , 923 ," 1,049 "," 1,057 ", 953 , 983 ," 1,274 "," 1,016 ", 914 , 924 , 797 , 779 , 815 , 810 
Middle Africa," 1,190 "," 1,317 "," 1,431 "," 2,044 "," 1,663 "," 2,353 "," 3,109 "," 5,757 "," 5,924 "," 6,492 "," 7,744 "," 7,422 "," 9,228 "," 9,694 "," 8,377 "," 9,451 "," 10,955 "," 13,046 "," 14,781 "
Angola, 57 , 87 , 94 , 92 , 59 , 107 , 188 , 272 , 199 , 221 , 173 , 148 , 148 , 187 , 143 , 148 , 154 , 198 , 209 
Cameroon, 824 , 860 , 791 , 984 , 927 ," 1,309 "," 1,458 "," 2,919 "," 3,392 "," 3,771 "," 3,463 "," 4,161 "," 4,754 "," 3,815 "," 3,908 "," 3,943 "," 4,374 "," 4,899 "," 4,668 "
Central African Republic, 3 , 4 , 11 , 13 , 6 , 17 , 24 , 51 , 52 , 88 , 107 , 101 , 134 , 116 , 213 , 155 , 234 , 202 , 178 
Chad, 24 , 23 , 44 , 47 , 8 , 23 , 31 , 73 , 74 , 96 , 102 , 120 , 171 , 155 , 111 , 119 , 175 , 136 , 205 
Democratic Republic of Congo, 87 , 123 , 145 , 178 , 110 , 155 , 260 , 738 ," 1,129 "," 1,261 "," 2,122 "," 1,764 "," 2,424 "," 3,731 "," 2,792 "," 4,347 "," 5,345 "," 6,791 "," 8,709 "
Equatorial Guinea, D , 5 , 3 , 8 , D , 13 , 10 , 13 , 4 , 16 , 32 , 12 , 13 , 20 , 18 , 15 , 25 , 18 , 20 
Gabon, 4 , 18 , 32 , 41 , 40 , 50 , 66 , 85 , 95 , 82 , 171 , 138 , 204 , 197 , 127 , 167 , 146 , 165 , 150 
Republic of Congo, 190 , 189 , 311 , 677 , 513 , 670 ," 1,064 "," 1,600 ", 972 , 950 ," 1,563 ", 968 ," 1,371 "," 1,461 "," 1,059 ", 552 , 496 , 625 , 632 
Sao Tome and Principe, 1 , 8 , D , 4 , D , 9 , 8 , 6 , 7 , 7 , 11 , 10 , 9 , 12 , 6 , 5 , 6 , 12 , 10 
Northern Africa," 9,832 "," 10,988 "," 13,303 "," 12,888 "," 9,620 "," 14,308 "," 19,380 "," 23,034 "," 18,349 "," 18,467 "," 20,065 "," 18,466 "," 16,966 "," 17,238 "," 17,696 "," 20,220 "," 22,529 "," 23,254 "," 21,192 "
Algeria, 789 , 906 , 875 ," 1,030 ", 759 , 805 ," 1,115 "," 1,300 "," 1,036 "," 1,037 "," 1,485 "," 1,305 "," 1,364 "," 1,369 "," 1,241 "," 1,669 "," 1,775 "," 2,180 "," 2,139 "
Egypt," 4,421 "," 4,450 "," 5,159 "," 4,852 "," 3,348 "," 5,522 "," 7,905 "," 10,500 "," 9,267 "," 8,712 "," 8,844 "," 8,978 "," 7,778 "," 8,988 "," 10,294 "," 11,477 "," 12,085 "," 12,045 "," 9,834 "
Libya, 156 , 180 , 223 , 158 , 140 , 185 , 223 , 271 , 186 , 285 , 296 , 355 , 357 , 315 , 376 , 524 , 734 , 642 , 780 
Morocco," 2,970 "," 3,614 "," 4,958 "," 3,387 "," 3,137 "," 4,128 "," 4,411 "," 4,949 "," 4,513 "," 4,425 "," 5,447 "," 5,013 "," 4,399 "," 3,656 "," 3,336 "," 3,605 "," 3,710 "," 4,586 "," 4,229 "
South Sudan,,,,,,,,, X , X , X , X , - , 17 , 59 , 74 , 127 , 124 , 160 
Sudan," 1,346 "," 1,531 "," 1,650 "," 2,921 "," 1,883 "," 3,211 "," 5,231 "," 5,504 "," 2,930 "," 3,598 "," 3,577 "," 2,397 "," 2,628 "," 2,471 "," 1,945 "," 2,442 "," 3,580 "," 3,159 "," 3,515 "
Tunisia, 150 , 307 , 438 , 540 , 353 , 457 , 495 , 510 , 417 , 410 , 416 , 418 , 440 , 422 , 445 , 429 , 518 , 518 , 535 
Southern Africa," 1,608 "," 2,888 "," 4,192 "," 3,962 "," 2,305 "," 3,473 "," 4,681 "," 3,339 "," 3,121 "," 2,844 "," 3,335 "," 2,929 "," 2,812 "," 2,961 "," 2,774 "," 2,814 "," 3,096 "," 3,227 "," 3,197 "
Botswana, 5 , 13 , 24 , 30 , 27 , 34 , 54 , 53 , 49 , 41 , 55 , 66 , 76 , 80 , 53 , 58 , 61 , 78 , 112 
Lesotho, 5 , 9 , 6 , 13 , 5 , 14 , 12 , 18 , 14 , 16 , 14 , 23 , 25 , 17 , 20 , 13 , 23 , 19 , 24 
Namibia, 13 , 30 , 54 , 46 , 40 , 40 , 63 , 56 , 57 , 46 , 53 , 60 , 43 , 59 , 57 , 44 , 86 , 87 , 130 
South Africa," 1,577 "," 2,824 "," 4,090 "," 3,861 "," 2,210 "," 3,370 "," 4,536 "," 3,201 "," 2,988 "," 2,723 "," 3,171 "," 2,758 "," 2,649 "," 2,781 "," 2,629 "," 2,676 "," 2,907 "," 3,023 "," 2,912 "
Swaziland, 8 , 12 , 18 , 12 , 23 , 15 , 16 , 11 , 13 , 18 , 42 , 22 , 19 , 24 , 15 , 23 , 19 , 20 , 19 
Western Africa," 15,103 "," 18,558 "," 21,424 "," 22,774 "," 20,144 "," 25,012 "," 31,391 "," 43,991 "," 35,584 "," 41,549 "," 46,479 "," 38,040 "," 37,367 "," 41,806 "," 39,410 "," 35,684 "," 33,214 "," 38,851 "," 40,343 "
Benin, 59 , 62 , 75 , 137 , 76 , 185 , 193 , 275 , 258 , 317 , 401 , 486 , 462 , 415 , 342 , 517 , 466 , 577 , 648 
Burkina Faso, 17 , 48 , 68 , 64 , 60 , 103 , 128 , 221 , 238 , 238 , 416 , 377 , 433 , 558 , 585 , 583 , 575 , 642 , 541 
Cabo Verde, 902 ," 1,079 ", 868 , 871 , 745 ," 1,015 "," 1,225 "," 1,780 "," 2,048 "," 1,916 "," 2,238 "," 1,668 "," 1,808 "," 1,684 "," 1,673 "," 1,154 "," 1,253 "," 2,242 "," 2,618 "
Cote d'Ivoire, 303 , 439 , 596 , 629 , 483 , 666 , 930 ," 2,067 "," 1,193 "," 1,645 "," 2,159 "," 1,621 "," 1,302 "," 1,760 "," 1,486 "," 1,477 "," 1,497 "," 1,617 "," 1,810 "
Gambia, 183 , 231 , 390 , 343 , 263 , 422 , 581 , 897 , 826 , 739 , 978 , 859 , 972 ," 1,159 "," 1,018 "," 1,111 "," 1,142 "," 1,247 "," 1,134 "
Ghana," 3,707 "," 4,339 "," 4,023 "," 4,248 "," 4,410 "," 5,337 "," 6,491 "," 9,367 "," 7,610 "," 8,195 "," 8,401 "," 7,429 "," 8,798 "," 10,592 "," 10,265 "," 7,115 "," 6,186 "," 6,949 "," 8,455 "
Guinea, 5 , 3 , 11 , 16 , 29 , 347 , 495 ," 1,110 "," 1,088 "," 1,735 "," 1,725 "," 1,379 "," 1,555 "," 1,656 "," 1,518 "," 1,375 "," 1,389 "," 1,501 "," 1,348 "
Guinea-Bissau, 134 , 204 , 273 , 289 , 176 , 5 , 26 , 25 , 25 , 17 , 20 , 30 , 29 , 47 , 43 , 30 , 39 , 37 , 48 
Liberia," 1,351 "," 1,570 "," 2,273 "," 2,869 "," 1,766 "," 2,757 "," 4,880 "," 6,887 "," 4,102 "," 7,193 "," 7,641 "," 4,837 "," 4,151 "," 4,109 "," 3,334 "," 3,874 "," 3,795 "," 3,619 "," 4,155 "
Mali, 72 , 109 , 119 , 105 , 124 , 163 , 277 , 408 , 412 , 523 , 576 , 528 , 629 , 734 , 667 , 604 , 587 , 598 , 544 
Mauritania, 24 , 88 , 117 , 124 , 131 , 170 , 275 , 720 , 651 , 844 , 597 , 495 , 393 , 410 , 354 , 320 , 298 , 317 , 287 
Niger, 12 , 30 ," 1,330 "," 1,263 ", 808 , 62 , 126 , 116 , 97 , 107 , 183 , 96 , 96 , 48 , 37 , 71 , 55 , 119 , 116 
Nigeria," 6,742 "," 7,831 "," 8,253 "," 8,105 "," 7,872 "," 9,374 "," 10,597 "," 13,459 "," 12,448 "," 12,475 "," 15,253 "," 13,376 "," 11,824 "," 13,575 "," 13,840 "," 12,828 "," 11,542 "," 14,380 "," 13,539 "
Senegal, 368 , 554 , 663 , 530 , 522 , 769 , 913 ," 1,367 "," 1,024 "," 1,149 "," 1,524 "," 1,285 "," 1,424 "," 1,615 "," 1,340 "," 1,273 "," 1,244 "," 1,533 "," 1,470 "
Sierra Leone, 970 ," 1,585 "," 1,878 "," 2,246 "," 1,492 "," 1,596 "," 2,731 "," 3,572 "," 1,999 "," 2,795 "," 2,687 "," 2,011 "," 1,985 "," 1,688 "," 1,651 "," 1,740 "," 1,599 "," 1,535 "," 2,058 "
Togo, 254 , 386 , 487 , 935 ," 1,187 "," 2,041 "," 1,523 "," 1,720 "," 1,565 "," 1,661 "," 1,680 "," 1,563 "," 1,506 "," 1,756 "," 1,257 "," 1,612 "," 1,547 "," 1,938 "," 1,572 "
Other Africa,,,,,,,,,, 5 , 4 , -   , -   , 3 , 3 , 3 , 3 , 1 , -   
Americas," 312,160 "," 394,779 "," 474,112 "," 477,092 "," 304,990 "," 414,523 "," 448,689 "," 552,056 "," 445,806 "," 491,745 "," 478,040 "," 423,731 "," 419,998 "," 407,172 "," 396,605 "," 398,069 "," 438,435 "," 506,901 "," 492,726 "
Caribbean," 71,350 "," 86,055 "," 102,830 "," 96,026 "," 68,549 "," 89,042 "," 108,470 "," 146,606 "," 118,950 "," 136,948 "," 145,959 "," 139,877 "," 133,608 "," 127,391 "," 122,313 "," 133,843 "," 146,640 "," 182,049 "," 174,514 "
Anguilla, 20 , 25 , 55 , 20 , 26 , 22 , 35 , 32 , 25 , 22 , 21 , 19 , 25 , 23 , 22 , 20 , 22 , 20 , 23 
Antigua and Barbuda, 454 , 429 , 461 , 380 , 301 , 414 , 440 , 570 , 415 , 444 , 437 , 359 , 368 , 337 , 344 , 369 , 290 , 324 , 322 
Aruba, 14 , 25 , 29 , 32 , 27 , 31 , 42 , 51 , 55 , 36 , 38 , 49 , 39 , 54 , 45 , 40 , 38 , 23 , 47 
Bahamas, 398 , 766 , 924 , 808 , 423 , 586 , 698 , 847 , 738 , 682 , 751 , 652 , 668 , 619 , 630 , 654 , 725 , 656 , 725 
Barbados, 715 , 777 , 895 , 813 , 516 , 630 , 846 , 959 , 689 , 585 , 603 , 465 , 455 , 460 , 428 , 384 , 376 , 371 , 373 
British Virgin Islands, 76 , 67 , 70 , 43 , 43 , 35 , 41 , 47 , 40 , 53 , 46 , 46 , 37 , 39 , 45 , 56 , 38 , 40 , 25 
Cayman Islands, 18 , 31 , 23 , 24 , 35 , 38 , 37 , 65 , 40 , 37 , 45 , 52 , 41 , 44 , 44 , 48 , 53 , 55 , 67 
Cuba," 14,019 "," 18,960 "," 27,453 "," 28,182 "," 9,262 "," 20,488 "," 36,261 "," 45,614 "," 29,104 "," 49,500 "," 38,954 "," 33,573 "," 36,452 "," 32,820 "," 32,219 "," 46,679 "," 54,396 "," 66,516 "," 65,028 "
Curacao, X , X , X , X , X , X , X , X , X , X , X , X , - , - , - , 27 , 22 , 35 , 34 
Dominica, 40 , 95 , 93 , 148 , 204 , 132 , 198 , 471 , 428 , 454 , 484 , 366 , 287 , 125 , 244 , 345 , 229 , 298 , 510 
Dominican Republic," 17,811 "," 17,465 "," 21,195 "," 22,515 "," 26,159 "," 30,506 "," 27,503 "," 38,068 "," 28,024 "," 31,879 "," 49,414 "," 53,870 "," 46,109 "," 41,566 "," 41,311 "," 44,577 "," 50,610 "," 61,161 "," 58,520 "
Grenada, 661 , 655 , 645 , 634 , 481 , 609 , 840 ," 1,068 ", 751 , 784 , 748 , 664 , 579 , 671 , 687 , 633 , 525 , 585 , 544 
Guadeloupe, 54 , 51 , 84 , 38 , 35 , 59 , 48 , 53 , D , D , D , D , D , D , D , D , D , D , D 
Haiti," 16,514 "," 22,337 "," 27,031 "," 20,213 "," 12,293 "," 14,191 "," 14,524 "," 22,226 "," 30,405 "," 26,007 "," 24,280 "," 22,582 "," 22,111 "," 22,818 "," 20,351 "," 15,274 "," 16,967 "," 23,584 "," 21,824 "
Jamaica," 14,693 "," 15,949 "," 15,322 "," 14,835 "," 13,347 "," 14,430 "," 18,345 "," 24,976 "," 19,375 "," 18,477 "," 21,783 "," 19,825 "," 19,662 "," 20,705 "," 19,400 "," 19,026 "," 17,642 "," 23,350 "," 21,905 "
Martinique, 23 , 20 , 22 , 19 , 14 , 26 , 37 , 30 , D , D , D , D , D , D , D , D , D , D , D 
Montserrat, 80 , 70 , 61 , 42 , 36 , 33 , 50 , 90 , 66 , 61 , 43 , 27 , 30 , 27 , - , 38 , 14 , 14 , 12 
Netherlands Antilles, 35 , 53 , 114 , 97 , 59 , 72 , 116 , 100 , 93 , 78 , 97 , 77 , 86 , 106 , 128 , 45 , 22 , 18 , 9 
Saint Kitts and Nevis, 463 , 500 , 463 , 342 , 310 , 299 , 342 , 458 , 347 , 363 , 310 , 339 , 350 , 311 , 259 , 263 , 222 , 250 , 238 
Saint Lucia, 529 , 599 , 674 , 583 , 488 , 616 , 832 ," 1,212 ", 928 , 946 ," 1,027 ", 872 , 785 , 919 , 853 , 844 , 739 , 777 , 777 
Saint Vincent and the Grenadines, 442 , 497 , 559 , 480 , 322 , 400 , 625 , 756 , 567 , 568 , 591 , 576 , 468 , 503 , 529 , 448 , 415 , 422 , 361 
Sint Maarten, X , X , X , X , X , X , X , X , X , X , X , X , - , - , - , 45 , 45 , 42 , 35 
